subject,relation,object
乌拉诺斯,相关故事,普罗米修斯
克洛诺斯,相关故事,普罗米修斯
普罗米修斯,相关故事,普罗米修斯
埃庇米修斯,相关故事,普罗米修斯
宙斯,相关故事,普罗米修斯
赫拉,相关故事,普罗米修斯
雅典娜,相关故事,普罗米修斯
阿佛洛狄忒,相关故事,普罗米修斯
赫斯珀里得斯,相关故事,普罗米修斯
克拉托斯,相关故事,普罗米修斯
潘,相关故事,普罗米修斯
克洛诺斯,相关故事,人类的时代
宙斯,相关故事,人类的时代
忒弥斯,相关故事,丢卡利翁和皮拉
普罗米修斯,相关故事,丢卡利翁和皮拉
宙斯,相关故事,丢卡利翁和皮拉
波塞冬,相关故事,丢卡利翁和皮拉
忒弥斯,相关故事,伊娥
宙斯,相关故事,伊娥
赫拉,相关故事,伊娥
赫尔墨斯,相关故事,伊娥
比亚,相关故事,伊娥
潘,相关故事,伊娥
那伊阿得斯,相关故事,法厄同
赫利阿得斯,相关故事,法厄同
克吕墨涅,相关故事,法厄同
宙斯,相关故事,欧罗巴
赫拉,相关故事,欧罗巴
波塞冬,相关故事,欧罗巴
阿佛洛狄忒,相关故事,欧罗巴
帕拉斯,相关故事,卡德摩斯
宙斯,相关故事,卡德摩斯
赫拉,相关故事,卡德摩斯
波塞冬,相关故事,卡德摩斯
阿波罗,相关故事,卡德摩斯
雅典娜,相关故事,卡德摩斯
阿佛洛狄忒,相关故事,卡德摩斯
狄俄尼索斯,相关故事,卡德摩斯
宙斯,相关故事,彭透斯
狄俄尼索斯,相关故事,彭透斯
阿特拉斯,相关故事,珀耳修斯
宙斯,相关故事,珀耳修斯
波塞冬,相关故事,珀耳修斯
雅典娜,相关故事,珀耳修斯
涅柔斯,相关故事,珀耳修斯
福耳库斯,相关故事,珀耳修斯
戈耳工,相关故事,珀耳修斯
格赖埃,相关故事,珀耳修斯
珀伽索斯,相关故事,珀耳修斯
克律萨俄耳,相关故事,珀耳修斯
比亚,相关故事,珀耳修斯
宙斯,相关故事,伊翁
波塞冬,相关故事,伊翁
阿波罗,相关故事,伊翁
雅典娜,相关故事,伊翁
戈耳工,相关故事,伊翁
阿佛洛狄忒,相关故事,代达罗斯和伊卡洛斯
弥诺陶洛斯,相关故事,代达罗斯和伊卡洛斯
宙斯,相关故事,坦塔罗斯
塔罗,相关故事,坦塔罗斯
珀耳塞福涅,相关故事,坦塔罗斯
宙斯,相关故事,珀罗普斯
波塞冬,相关故事,珀罗普斯
塔罗,相关故事,珀罗普斯
忒弥斯,相关故事,尼俄柏
勒托,相关故事,尼俄柏
阿特拉斯,相关故事,尼俄柏
宙斯,相关故事,尼俄柏
赫拉,相关故事,尼俄柏
阿波罗,相关故事,尼俄柏
塔罗,相关故事,尼俄柏
缪斯,相关故事,尼俄柏
狄俄涅,相关故事,尼俄柏
忒弥斯,相关故事,阿克特翁
阿瑞斯,相关故事,普洛克涅和菲罗墨拉
潘,相关故事,普洛克涅和菲罗墨拉
忒弥斯,相关故事,墨勒阿革洛斯和野猪
雅典娜,相关故事,墨勒阿革洛斯和野猪
忒亚,相关故事,西绪福斯和柏勒洛丰
忒弥斯,相关故事,西绪福斯和柏勒洛丰
宙斯,相关故事,西绪福斯和柏勒洛丰
波塞冬,相关故事,西绪福斯和柏勒洛丰
雅典娜,相关故事,西绪福斯和柏勒洛丰
堤丰,相关故事,西绪福斯和柏勒洛丰
厄喀德那,相关故事,西绪福斯和柏勒洛丰
喀迈拉,相关故事,西绪福斯和柏勒洛丰
珀伽索斯,相关故事,西绪福斯和柏勒洛丰
赫拉,相关故事,伊阿宋和珀利阿斯
波塞冬,相关故事,伊阿宋和珀利阿斯
阿波罗,相关故事,伊阿宋和珀利阿斯
阿瑞斯,相关故事,伊阿宋和珀利阿斯
墨诺提俄斯,相关故事,阿耳戈英雄们乘船出发
宙斯,相关故事,阿耳戈英雄们乘船出发
赫拉,相关故事,阿耳戈英雄们乘船出发
波塞冬,相关故事,阿耳戈英雄们乘船出发
阿瑞斯,相关故事,阿耳戈英雄们乘船出发
雅典娜,相关故事,阿耳戈英雄们乘船出发
卡尔,相关故事,阿耳戈英雄们乘船出发
涅斐勒,相关故事,阿耳戈英雄们乘船出发
阿尔刻,相关故事,阿耳戈英雄们乘船出发
赫拉,相关故事,阿耳戈英雄们在雷姆诺斯岛
雅典娜,相关故事,阿耳戈英雄们在雷姆诺斯岛
阿佛洛狄忒,相关故事,阿耳戈英雄们在雷姆诺斯岛
宙斯,相关故事,赫拉克勒斯留了下来
赫拉,相关故事,赫拉克勒斯留了下来
宙斯,相关故事,波吕丢刻斯和珀布律喀亚国王
宙斯,相关故事,菲纽斯和妇人鸟
阿波罗,相关故事,菲纽斯和妇人鸟
普罗米修斯,相关故事,两座巨大的撞岩
阿瑞斯,相关故事,两座巨大的撞岩
雅典娜,相关故事,两座巨大的撞岩
埃阿科斯,相关故事,两座巨大的撞岩
卡尔,相关故事,两座巨大的撞岩
涅斐勒,相关故事,两座巨大的撞岩
赫拉,相关故事,伊阿宋在埃厄忒斯的宫殿里
赫卡忒,相关故事,伊阿宋在埃厄忒斯的宫殿里
卡尔,相关故事,伊阿宋在埃厄忒斯的宫殿里
帕拉斯,相关故事,美狄亚和埃厄忒斯
宙斯,相关故事,美狄亚和埃厄忒斯
阿瑞斯,相关故事,美狄亚和埃厄忒斯
雅典娜,相关故事,美狄亚和埃厄忒斯
阿瑞斯,相关故事,阿耳戈斯的建议
阿佛洛狄忒,相关故事,阿耳戈斯的建议
赫卡忒,相关故事,阿耳戈斯的建议
卡尔,相关故事,阿耳戈斯的建议
赫拉,相关故事,美狄亚答应援助阿耳戈英雄们
赫卡忒,相关故事,美狄亚答应援助阿耳戈英雄们
卡尔,相关故事,美狄亚答应援助阿耳戈英雄们
普罗米修斯,相关故事,伊阿宋和美狄亚
赫拉,相关故事,伊阿宋和美狄亚
赫卡忒,相关故事,伊阿宋和美狄亚
赫拉,相关故事,伊阿宋完成了埃厄忒斯的使命
阿瑞斯,相关故事,伊阿宋完成了埃厄忒斯的使命
赫卡忒,相关故事,伊阿宋完成了埃厄忒斯的使命
卡尔,相关故事,伊阿宋完成了埃厄忒斯的使命
宙斯,相关故事,美狄亚取得金羊毛
赫拉,相关故事,美狄亚取得金羊毛
阿瑞斯,相关故事,美狄亚取得金羊毛
卡尔,相关故事,美狄亚取得金羊毛
忒弥斯,相关故事,阿耳戈英雄们带着美狄亚逃跑
宙斯,相关故事,阿耳戈英雄们带着美狄亚逃跑
赫卡忒,相关故事,阿耳戈英雄们带着美狄亚逃跑
忒弥斯,相关故事,阿耳戈英雄们在归途中
阿特拉斯,相关故事,阿耳戈英雄们在归途中
宙斯,相关故事,阿耳戈英雄们在归途中
赫拉,相关故事,阿耳戈英雄们在归途中
雅典娜,相关故事,阿耳戈英雄们在归途中
阿佛洛狄忒,相关故事,阿耳戈英雄们在归途中
那伊阿得斯,相关故事,阿耳戈英雄们在归途中
赫利阿得斯,相关故事,阿耳戈英雄们在归途中
涅柔斯,相关故事,阿耳戈英雄们在归途中
塞壬,相关故事,阿耳戈英雄们在归途中
喀耳刻,相关故事,阿耳戈英雄们在归途中
卡吕普索,相关故事,阿耳戈英雄们在归途中
宙斯,相关故事,科尔喀斯人追击而来
赫拉,相关故事,科尔喀斯人追击而来
塔耳塔洛斯,相关故事,阿耳戈英雄们的最后一次冒险
宙斯,相关故事,阿耳戈英雄们的最后一次冒险
赫拉,相关故事,阿耳戈英雄们的最后一次冒险
波塞冬,相关故事,阿耳戈英雄们的最后一次冒险
阿波罗,相关故事,阿耳戈英雄们的最后一次冒险
涅柔斯,相关故事,阿耳戈英雄们的最后一次冒险
拉冬,相关故事,阿耳戈英雄们的最后一次冒险
比亚,相关故事,阿耳戈英雄们的最后一次冒险
宙斯,相关故事,赫拉克勒斯的出生和童年时代
赫拉,相关故事,赫拉克勒斯的出生和童年时代
雅典娜,相关故事,赫拉克勒斯的出生和童年时代
赫柏,相关故事,赫拉克勒斯的出生和童年时代
宙斯,相关故事,赫拉克勒斯所受的教育
赫拉,相关故事,赫拉克勒斯所受的教育
阿波罗,相关故事,赫拉克勒斯所受的教育
赫拉,相关故事,赫拉克勒斯选择生活道路
赫拉,相关故事,赫拉克勒斯最初的英雄行为
阿波罗,相关故事,赫拉克勒斯最初的英雄行为
雅典娜,相关故事,赫拉克勒斯最初的英雄行为
乌拉诺斯,相关故事,赫拉克勒斯与巨人的战斗
塔耳塔洛斯,相关故事,赫拉克勒斯与巨人的战斗
阿特拉斯,相关故事,赫拉克勒斯与巨人的战斗
普罗米修斯,相关故事,赫拉克勒斯与巨人的战斗
宙斯,相关故事,赫拉克勒斯与巨人的战斗
赫拉,相关故事,赫拉克勒斯与巨人的战斗
波塞冬,相关故事,赫拉克勒斯与巨人的战斗
阿波罗,相关故事,赫拉克勒斯与巨人的战斗
阿瑞斯,相关故事,赫拉克勒斯与巨人的战斗
雅典娜,相关故事,赫拉克勒斯与巨人的战斗
狄俄尼索斯,相关故事,赫拉克勒斯与巨人的战斗
珀耳塞福涅,相关故事,赫拉克勒斯与巨人的战斗
宙斯,相关故事,赫拉克勒斯与欧律斯透斯
赫拉,相关故事,赫拉克勒斯与欧律斯透斯
宙斯,相关故事,勇斗尼密阿巨狮
赫拉,相关故事,勇斗尼密阿巨狮
堤丰,相关故事,勇斗尼密阿巨狮
厄喀德那,相关故事,勇斗尼密阿巨狮
赫拉,相关故事,杀死九头蛇许德拉
堤丰,相关故事,杀死九头蛇许德拉
厄喀德那,相关故事,杀死九头蛇许德拉
忒弥斯,相关故事,生擒刻律涅亚山上的牝鹿
赫拉,相关故事,生擒刻律涅亚山上的牝鹿
阿波罗,相关故事,生擒刻律涅亚山上的牝鹿
忒弥斯,相关故事,活捉厄律曼托斯山上的野猪
赫拉,相关故事,活捉厄律曼托斯山上的野猪
赫拉,相关故事,清扫奥革阿斯的牛棚
